,nmin,tmin,nmax,tmax
SC,8500,31 ms,900000,378374 ms (6.3 mins)
SS,8500,31 ms,1000000,447494 ms (7.4 mins)
SR,8500,31 ms,1000000,445894 ms (7.4 mins)
IC,18000000,32 ms,1000000000,1741 ms (0.029 mins)
IS,17000000,31 ms,1000000000,2557 ms (0.043 mins)
IR,10010,32 ms,1000000,296049 ms (4.9 mins)
MC,800000,34 ms,1000000000,76485 ms (1.2 mins)
MS,750000,30 ms,1000000000,78118 ms (1.3 mins)
MR,260000,30 ms,1000000000,208651 ms (3.4 mins)
QC,9500,32 ms,1000000,347339 ms (5.8 mins)
QS,900000,34 ms,1000000000,54101 ms (0.9 mins)
QR,259000,30 ms,1000000000,170753 ms (2.85 mins)
